full_text,username,sarcasm
bisa kali sblm admin hunt admin lama termasuk di plk muncul ke publik selain admin punya skandal diapproach sama salah satu paslon admin juga kan mungut saldo dari followers buat krm menfess tapi banyak yg ga bisa krm,ui_fess,not_sarcastic
min lu yg suspend akun ng ya kenapa pas debat momennya terlalu pas ya minta maaf ga lu min woi,ui_fess,not_sarcastic
sebelah lebih baik dan representatif tanggung jawab nya ya kamu min,ui_fess,sarcastic
halo tementemen saya rasa ada baiknya kita tetap menuntut tanggung jawab mimin jangan lupa atas perlakuannya yang merugikan banyak pihak tolong tanggung jawab publik kita sidang bersama di rotunda kalau perlu sejauh ini terbukti kalau yang cont,ui_fess,sarcastic
pengen deh punya admin menfess yang ga galak dan sering open follback giliran punya admin yang kayak gitu akunnya ke suspend,ui_fess,not_sarcastic
jangan lupa buka website kpu amp kpud provinsikabupatenkota utk tau mau pilih siapa di dpr ri dpd dprd kalo kabupatenkota gapapa kalo pilih caleg yg dikenal,ui_fess,not_sarcastic
gua ga denial klo indo kurang dokter dan pemerataannya tp sedih bgt ditanya promotif preventif jawabnya dokter sama makan siang mulu ampe gumoh intinya anak jgn vote buat dia,ui_fess,not_sarcastic
anak pinterpinter kan kalo gamau balikin rezim orba tau kan siapa yg seharusnya ga dipilih,ui_fess,not_sarcastic
woy besok kelas pagi,ui_fess,not_sarcastic
buat lu pada mahasiswa yg anak rik nonfk dan soshum pls vote wisely alias lu kudu sadar klo lu semua ga jd prioritas sama si 02 itu,ui_fess,not_sarcastic
h1 masuk coy,ui_fess,not_sarcastic
guys ada menfess baru loh uifessng semoga aja ga disuspend lg,ui_fess,not_sarcastic
benci bgt ini akun sampah tp kita butuh followersnya buat sebar awareness kl jangan sampe salah pilih capres tolong bgt ajg,ui_fess,not_sarcastic
50 postss for uigotloves 30 issa wrap,ui_fess,not_sarcastic
uigotloves cari bucin,ui_fess,not_sarcastic
uigotloves cari partner,ui_fess,not_sarcastic
sabar cuy banyak bgt ini mau dipost wkwk,ui_fess,not_sarcastic
registration is now closed thank you for 201 participants uigotloves 30,ui_fess,not_sarcastic
anyways buat responder yg tertarik tp locked account boleh dm aja yes u minat yg mana nanti disampaikan ke sendernya,ui_fess,not_sarcastic
q apakah semua boleh ikutan a if you guys dont mind with the possibility of incoming negative replies then youre more than welcome to register q eventnya menjamin gak min a untuk civitas validation dijamin kerahasiaannya tp kl berhasilnt urusan pribadi yh xixixi,ui_fess,not_sarcastic
q alumni bisa ikut a boleeee kk q semuanya bakal di post gak min a diusahakan semampunya yh q ada batas waktunya buat registrasi a tergantung warga kl rame kita lanjut kl flop kita discontinue,ui_fess,not_sarcastic
uigotloves faq q apa cuma buat yang cari pacar aja min a nope bisa buat cari partner lomba temen main peer bebas q kenapa khusus buat anak a karena lt next time kl ada ajakan kita collab sama kampus lain,ui_fess,not_sarcastic
uigotloves 30 register now for civitas amp alumni only,ui_fess,not_sarcastic
sbg testimoni boleh cek uigotloves old version v 10 v 20,ui_fess,not_sarcastic
damn beneran rame yaudah vote cpt,ui_fess,not_sarcastic
cek warga dulu lach kl ada 100 rt di tweet ini kita jadiin uigotloves,ui_fess,sarcastic
apanih ramerame wts uifess,ui_fess,not_sarcastic
selamat tahun baru selamat menjalani semester genap,ui_fess,not_sarcastic
take care ya guys jangan lupa selalu cari tau kabar temanteman kalian,ui_fess,not_sarcastic
bro serius nanya lo ke kelas pake tank top crop top dengan celana low waist keliatan puser sama outer tipis yg juga crop top tu apa ngga menggigil gue aja di dalem kelas menggigil fak kecuali di luar yyeah cuaca mah gausah ditanya,ui_fess,not_sarcastic
kukel tuh emg banyak kecoa ato itu cuma kost aku aja,ui_fess,not_sarcastic
name has a letter a in it also my pronouns are classified,ui_fess,not_sarcastic
evening earthlings im seeking for some new longterm friends to talk to currently im into a date with death yes that one otome game cattos iblis and hyvs games im also an intpt if that matters kindly leave a trace if youre interested my cont,ui_fess,not_sarcastic
bejir banyak yg salah paham wkwkwk itu gue belom nyontek alias bukan abis nyontek tapi baru ingin menyontek buat uas jumat ntar makanya sebelum ak nyontek bertanya duluu pada kalian sksksk cont,ui_fess,not_sarcastic
ada yg mau mutualanberteman dengan sender entp makara abu love genre horor and angst filmbuku warna fav main ml suka jbjb kokk matcha ituu enakk bjirr twtnya sering sambattt karenaa lagi uas tapi bentar lg selesaii kok leave a trace ya hehe,ui_fess,not_sarcastic
kalau utbk lagi ambil vokasi worth it gak ya terus bisa konversi sks gak sih dari sarjana ke vokasi,ui_fess,not_sarcastic
ada yang tau tempat ngeprint di sekitaran yang bisa ngejilid kayak spiral notebook gitu nggak ya kalau ada yang bisa print covernya juga pake kertas yang lebih tebel gitu dan bisa selesai sehari,ui_fess,not_sarcastic
pls kating rik hadir dong besok kan remed summa ibd 1 yyeah ada gasi yg habis remed masih di bawah kkm itu beneran ngulang tahun depan ya katanya fak panik bgt kenapasi gue bego ibd,ui_fess,not_sarcastic
dunia perkuliahan tuh keras bgt ya sender punya kenalam yang disebut public enemy dan banyak orang yang sering ngomongin ttg dia buruk2 funfactnya adalah dia iisma di ivy league pinter rajin banget ambis amp suka ngajarin juga sender sering ngobrol cont,ui_fess,not_sarcastic
anak ada yang mau mutualan gak sama aku kalo mau like menfess ini ya avaku matahari terbit sender warga juga kok thank you,ui_fess,not_sarcastic
ikutan ah alumni feb mau berpesan kl ga kerja di big4 ga mati kok,ui_fess,not_sarcastic
minimal cek dp uifess broooo,ui_fess,not_sarcastic
anak2 banyak bgt yach yang keker berotot sekarang sender angkatan tua agak ngeri ngeliat maba badannya gede2 dibandingkan sender jadinya yg harusnya lebih tua sender malah reflek manggil mereka kak anyways keren bgt kalian gymbros semangat cont,ui_fess,not_sarcastic
alumni fib here mau kasih pesen buat deting jgn kebanyakan pesta lu pada ntr nganggur lama kek gue,ui_fess,not_sarcastic
siapa yang biarkan efkaem memasak saluttt sepanjang koridor dipasangin ginian tugas akhir salah satu matkul para mahasiswa,ui_fess,sarcastic
temen besok kalau main ke fia piringnya tolong dibalikin ya di pojok sana soalnya budayanya emang self service nih makasihh,ui_fess,sarcastic
kalau pengen join di ukm agama lain bisa ga sih sender ada niatan pindah agama jadi pengen belajar dulu,ui_fess,not_sarcastic
sederhana tapi gapunya,ui_fess,not_sarcastic
halo ada yang punya info parttime dekat gak misal barista or anything,ui_fess,not_sarcastic
hai mentemen adakah yang ke comifuro besok minggu mau cari temen takut jadi anak hilang di sana tt,ui_fess,sarcastic
tolonglah yang pake toilet di perpusat jangan jorok setelah pakai diflush biar ga bau pesing,ui_fess,not_sarcastic
haloo ada yang tau laptop apa yang bagus buat dipake sampe skripsian nantii sender masih semester satuu better yang bisa dipake buat edit after effects juga hehe,ui_fess,not_sarcastic
gajelas anjrit pemira medpar kok sama uicant1k,ui_fess,not_sarcastic
anak ada yang nonton produce 101 japan the girls gaaa gue nyari temen nobar ntar sabtu temen gue kaga ada yg ngerti beginian,ui_fess,not_sarcastic
anak drop dong lagi denger lagu apa sekarang d,ui_fess,not_sarcastic
kalian pernah ketempelan setan di pls help punggung gw berat bgt dr sore apa gr2 lewat teksas pas maghrib,ui_fess,not_sarcastic
halo di sekitar ada yang tau tempat istall ulang windows yang terpercaya nggak soalnya laptopku bootingnya lama banget,ui_fess,not_sarcastic
pesan kepada dosen agar tali silaturahmi tidak terputus harap berikan uas saya nilai seratus,ui_fess,sarcastic
sebutin 1 menu makanan favorit kalian di tiap kantin,ui_fess,not_sarcastic
semua civitas harus tau kalau soto pak mukhlis adalah soto terenak di apalagi soto betawi paru pakai perkedelnya ditambah acarnya yang kasih hint jeruk nipis,ui_fess,not_sarcastic
syarat min akun buat kirim menfess folls 100 tweets 1000 acc created 12 months,ui_fess,not_sarcastic
guys parkir mobil utk mahasiswa di ft tuh di mana yaa aku liat maps ada plang khusus dosen semua,ui_fess,not_sarcastic
h10 menuju harihari gabut spill drakor yang cocok ditonton buat libur panjang dong udah lama banget ga nonton drakor karena tiap hari dikejar deadline tugas,ui_fess,not_sarcastic
haduh nih kalo boleh jujur sebenernya gue gak ngerti nih matkul ngomongin apaan tapi kok gue liat orang pada serius yak udah ngerti kali yak gue aja gak ngerti nih,ui_fess,not_sarcastic
setuju gak sih kalau ui buat fakultas khusus industri kreatif gitu yang isinya komunikasi media pariwisata desain soalnya jurusan di up to date banget,ui_fess,not_sarcastic
guysss wdyt ttg pemira dan calon2nya pd ngikutin gaaaak gue masih bingung mau milih siapa nanti,ui_fess,not_sarcastic
ini feeling gue doang atau emang gedung baru fh sama fia lebih cepet selesai daripada renov lantai 3 gedung baru fasilkom yak,ui_fess,not_sarcastic
fasilitas umum lainnya pikirin juga kenyamanan bersama aku harap habis ini anak makara hijau bisa segera sadar,ui_fess,sarcastic
praktikum pakai jas trus bahan infeksiusnya nempel di jas lab tolong ya siapapun mau itu teman kalian adik tingkat atau kakak tingkat tolong saling mengingatkan aku gak masalah kalo kalian pake jas lab di fakultas kalian tapi tlong kalo di rik dan cont,ui_fess,not_sarcastic
min account created,ui_fess,not_sarcastic
naur not pemilu kucing siko,ui_fess,not_sarcastic
siapa disini yg pake lockscreen ssan jadwal siakng,ui_fess,not_sarcastic
lucu yeah melihat adik adik sma keliling pake seragam sma berasa wisata masa lalu,ui_fess,sarcastic
kpopers kumpul sebutin fandom kalian ayo temenan,ui_fess,not_sarcastic
literally feeling gw sekarang,ui_fess,not_sarcastic
bolu psiko bolu fisip trs sekarang sapi fe pls reply kucing fakultas kalian beserta namanya,ui_fess,not_sarcastic
rip sapi fe we love you sapikun,ui_fess,not_sarcastic
siapa yang setuju buka kuliah khusus online biar tiap hari bisa turu zzzzz,ui_fess,not_sarcastic
woe crisbar gue suka ayam crispy bakar lu tp knp lu kebakaran,ui_fess,not_sarcastic
guys menurut kalian realistis ga buat selesaiin buku novel 300 halaman dalam waktu 12 jam,ui_fess,not_sarcastic
mingguminggu uas malah sakit fisik sama mental pengen langsung istirahat sebulan deh,ui_fess,not_sarcastic
sender maba pertama kali ikut uas biasanya ngulang matkul krn apa yaa ngerasa ga yakin sama jawaban sender jd takut ngulang deh,ui_fess,not_sarcastic
info vokasi mau bikin s2 industri kreatif,ui_fess,not_sarcastic
melihat ada beberapa komentar negatif soal anak pmm di univ lain gabisa dipukul rata ya dan di pmm 4 ini terdaftar sebagai pt penerima tanggapan kalian gimana,ui_fess,not_sarcastic
aku maba mau tanya klo di ui tuh semester brp ya ada program study tour gitu,ui_fess,not_sarcastic
plis dong fib namanya doang sastra tapi ga ada tempat khusus buat baca fakultas tetangga aja punya ruang baca lho,ui_fess,not_sarcastic
guys mau nanya dong deadline moocs itu kapan ya soalnya kaya simpang siur satu moocs ada yg dlnya 30 ada jg yg udah dl,ui_fess,not_sarcastic
halo temanteman ada yang punya info kost harian kost campuran di sekitar ui harganya kalau bisa murah soalnya perlu untuk tanggal 2426 desember,ui_fess,not_sarcastic
pleaseee buat semua anak tolong dong kalo pake jaslab tau tempat gausa dibawa ke luar lab apalagi dipake jalan jalan ke halte atau tempat umum lainnya kaya kantin terutama anak kesehatan harusnya tau lah mekanisme kontrol infeksi itu kaya gmn,ui_fess,not_sarcastic
waduch walach wadidaw ap ini,ui_fess,not_sarcastic
need info kos kukel putracampur yang biasanya dibersihin kamarnya please makasih yaa,ui_fess,not_sarcastic
mau nanya tapi jangan salty yahh gue mau nugas di perpusat tp takut clueless disana jd mau nanya disini kl civitas ui tuh harus nunjukin ktm lagi kah terus nugas paling enak di lantai mana ya makasih,ui_fess,not_sarcastic
emang boleh semester 5 gue di sesinting ini klean masih aman kh guys kibarkan bendera kalo udh ngak kuat,ui_fess,not_sarcastic
apakah dosa ngarep tj ngangkut penumpang dari dalem lagi apalagi yang 4b sama d21 udah full bis listrik,ui_fess,not_sarcastic
apakah war siak di kebun apel ada jaminan wifinya tidak lemot dan devicenya anti lag ripiu dongg belum pernah nyoba ke kebun apel huhu,ui_fess,sarcastic
di sini ada yang pernah ngurus surat keterangan mahasiswa nggak ya kalo ada aku mau nanyananya btw aku fib tia,ui_fess,not_sarcastic
jatuh cinta seperti di filmfilm kl versi kalian film apa guys,ui_fess,not_sarcastic
tips cari pacar dong masa udh mau lulus msh blm ada gandengan,ui_fess,not_sarcastic
kenapa ngulang maktul rasanya lonely banget ga ada temen,ui_fess,not_sarcastic
2023 ayokkk mutualan yg sering jbjb biar seruwww,ui_fess,not_sarcastic
infokan nobar flowe12ful sabtu mingdep ehehehehehe,ui_fess,not_sarcastic
tementemen aku mau ngucapin semangat uas buat warga semoga lancar luncur spontan uhuy yaa jan lupa self reward dan makasi ke diri sendiri udah keren 1 smt ini aww semangat semingit,ui_fess,sarcastic
kakakkakak kalian biasanya kalo smt ganjil gini dapet libur semesteran gitu gak kalo iya biasanya libur sampe bulan apa thank you,ui_fess,not_sarcastic
dah mau uas nih kalian biasanya belajar brp jam buat uas semangat uas semua,ui_fess,not_sarcastic
eh kontingen fakultas x gausah sok playing victim deh,ui_fess,not_sarcastic
sender sedang mencari bocil nyasar di katanya sepi nich stays di ui coba bantu donkkk cari mereka rep ajaaa buat bantu sender sekalian mutualan sesama skz stan,ui_fess,not_sarcastic
wibu twt pls reply ayo temenan,ui_fess,not_sarcastic
damn dude kasi tau this maba gmn cara login email ui webmailnya yg mana si kakakkakak,ui_fess,not_sarcastic
aku berdiri di atas panggung yang selalu kudambakannn di tengah eluan tepuk tangan dan juga semangat,ui_fess,not_sarcastic
woy mna f1twt kumpul sini,ui_fess,not_sarcastic
lawson di pisif kalo sabtu minggu tutup atau buka ya trimsss,ui_fess,not_sarcastic
mau pacaran seru juga di kaya lagulagunya hivi,ui_fess,not_sarcastic
halo warga aku maba lagi hunting kost via google karena gabisa cari langsung tolong rekomendasiin kost area pocinkober dong yg ramah pejalan kaki minta bantuannya,ui_fess,not_sarcastic
yaallah kapan perpus nyediain jurnal dari apa psycnet,ui_fess,not_sarcastic
guys ayo pacaran,ui_fess,not_sarcastic
takut uas takut uas takut uas takut uas takut uas takut uas takut uas takut uas takut uas takut uas takut uas takut uas takut uas takut uas,ui_fess,not_sarcastic
uifesss no password week is here you can now send menfess without password via we wont accept any new followers for a week ootday still on schedule tuethusat enjoy,ui_fess,not_sarcastic
syarat sebuah gedung fakultas di dirombak tu ap c gue muakkkk btul bjir gedung fkm bisa kek gt dirombak ruang kelasnya beberapa acnya ga dingin trus banyak nyamuk lagi mmrasa gk trima dpat ukt 20jt,ui_fess,not_sarcastic
kalo ngefoto cheatsheet ujian orang minimal disalin lah gak langsung diprint hasil scannya xixixi,ui_fess,not_sarcastic
do you know why birds sing because they dont sit in front of computers working their assignments and studying for the uas,ui_fess,not_sarcastic
gimana sih caranya mahasiswa bisa dapat penghasilan sendiri huhu kebutuhan kuliah banyak cuma ga enak minta sama ortu karna ukt kena di atas 10jt mau kerja part time gitu di sekitar cuma tugas banyak bgt huhu takut keteteran,ui_fess,not_sarcastic
gwe sich malu yh acara seni tingkat bisa salah kasih pengumuman,ui_fess,not_sarcastic
we always won but at what cost,ui_fess,not_sarcastic
rate kesiapan kalian dalam menghadapi uas semester ini dr 110,ui_fess,not_sarcastic
damn cuma kendaraan bermotor roda dua pls info dong yg udah di kampus,ui_fess,not_sarcastic
starter pack anak,ui_fess,not_sarcastic
lo pada harus tau pesona cowo farmasi,ui_fess,not_sarcastic
halo warga malmingan kmn nich,ui_fess,not_sarcastic
anak yg main genshin mau ngabarin tgl 8 des di fisip akan ada exhib with games and unofficial merch ttg cybersecurity di genshin sbg syarat kelulusan matkul klmpk sender utk ikut boleh isi gform rsvp dulu jd kl minat reply aja ya tysm d,ui_fess,not_sarcastic
newjeans tsunami awards cuy siapa bias kalian di newjeans kumpullllll di reply,ui_fess,not_sarcastic
pisif lg darurat maling gaes hati2 jgn taruh barang sembarangan,ui_fess,not_sarcastic
anak rantau coba kasih tau pengalaman kalian selama ngerantau di depok city friendly raimu ckkkkk udah 3x nyebrang di zebra cross margonda hampir mati keserempet,ui_fess,not_sarcastic
wajarlah anak kampus top 3 pengen punya jodoh minimal setara atau lebih gangerti knp orang julid soal preferensi pribadi,ui_fess,not_sarcastic
ingfo dr peerclub mari tertib berkendara guys,ui_fess,sarcastic
min gpp deh gwe bayar buat kirim menfess drpd tebak2an pw mulu,ui_fess,not_sarcastic
aku lah si penakluk password fess itu,ui_fess,not_sarcastic
you guys are using our menfess service for free so anyone dont deserve the audacity to make money out of it,ui_fess,not_sarcastic
pecah bgt final basket putra putri malem ini yg putri greget bgt selalu kejar an skor selisih satu fkg vs vokasi yg putra juga seru bgttt ft vs fia kayanya semua warga kutek kukel margonda malem ini diangkut ke gymnasium,ui_fess,not_sarcastic
ada gasih yg musim hujan gini males mandi pagi karena dingin jadinya mandi malem aja apalagi mulai kelas jam 8,ui_fess,not_sarcastic
buat mbak2 yg tadi ngevape di bikun sumpah lo keren banget asepnya ngumpul semua di muka gua,ui_fess,not_sarcastic
what opinion about kehidupan di that would have you like this,ui_fess,not_sarcastic
temen yang semester kemarin ikut progam kampus merdekamagang mandiri dan transfer 20 sks di siakng nya udah pada muncul blm punya sender blm muncul sampe sekarang huhu pdhl pngn lulus cepet,ui_fess,not_sarcastic
spekun tuh mangkalnya dimana sih pernah lihat pas mau pulang besokannya nyari muterin kaga nemu,ui_fess,not_sarcastic
mini course psyhope is back kali ini kami bawa judul understanding the psychological state of individuals in conflict zones online tgl 2 desember jam 10001145 yg tertarik sama isu humanity gass daftar yahh,ui_fess,not_sarcastic
guys hape sender ilang pas lg muter naik beam hr minggu mlm jam 9 an dr kutek lwt vokasi nyadar ilang pas lagi parkir di pocinn tipe hpnya oppo f9 casingnya item rada transparan blkgny ad foto pola struk laundryan pls kalo ketemu tlg rep pic cr g00gle,ui_fess,not_sarcastic
keburu sembuh rill,ui_fess,not_sarcastic
join dimari di restrict karena lo pada join doang kg follow,ui_fess,not_sarcastic
sederhana tapi bikin univ tetangga marah,ui_fess,sarcastic
waiting list klinik makara,ui_fess,not_sarcastic
sederhana tapi dosen marah,ui_fess,sarcastic
sederhana tapi anak fakultas kalian marah d,ui_fess,sarcastic
lah lupa klik activate menfess,ui_fess,not_sarcastic
guyysss tolong kasi tau yg jualan es pisang ijo sama kembang tahu sekitar makasii,ui_fess,not_sarcastic
malam di sini ada yang main project sekai puroseka jp server kalau ada mari berteman,ui_fess,sarcastic
ingfokan yg ju4l cendol sekitar dong plz bm cendol tapi bukan cendol yshinoya soalnya mahal,ui_fess,not_sarcastic
sederhana tapi akan sangat bermakna kalo direalisasikan revitalisasirenovasi jembor,ui_fess,sarcastic
drop playlist yang cocok buat nangis sambil naik beam malem malem,ui_fess,not_sarcastic
jurusan apa yang menurut kalian ga cocok di fakultasnya,ui_fess,not_sarcastic
my first core memories at is kegerahan di balairung hbu,ui_fess,not_sarcastic
anak fibftfeb ko gaada yg cinlok pas lg nyebrang teksas ya,ui_fess,not_sarcastic
sederhana tapi anak marah,ui_fess,sarcastic
kalian udah siap uas,ui_fess,not_sarcastic
harga gedung rektorat berapa ya sender udah punya duid goceng nih,ui_fess,not_sarcastic
eh area nugas di yang buka weekend hari sabtuminggu dimana ya selain perpusat kalo di perpucil buka gak hari weekend saranin tempat nugas dongg thank you,ui_fess,not_sarcastic
intinya aku nggak mau tau aku mau nikah sama dia yang bilang nggak waras semoga harimu tidak lancar,ui_fess,not_sarcastic
menwa sebenarnya masih ada ga sih trus masih ada mahasiswa yang join ke menwa gak,ui_fess,not_sarcastic
eh kita kan udah bayar buat masuk ui berarti kita boleh dong ngambil hasil hutan ui buat bertahan hidup v,ui_fess,not_sarcastic
selamat hari penghapusan kekerasan terhadap perempuan sedunia utk trs menyuarakan ttg penghapusan kekerasan thd perempuan aku mau ngajak kalian buat ikutan car free day parade 16 haktp bem fh ui kita bakal cfd an bareng sambil lawan patriarki yuk daftar,ui_fess,not_sarcastic
diintegrasiin biar nyambung perbagiannya jangan asal tinggal bjirrr,ui_fess,not_sarcastic
hoy pls hapuskan tugas kelompok untuk tugas akhir semester knp gue terus yg kerjanya paling banyak knp gue yg mesti mulai duluan di grupdeadline udh deket woy lo yg cuma ngerjain super bare minimum jg tuh paham gak sih tugas kelompok tu ya perlu cont,ui_fess,not_sarcastic
menurut lo apa 1 hal yg jadi ciri khas anak banget,ui_fess,not_sarcastic
eh lo pada kaga mau bikin komunitas penjelajah hutan apa mau bgt pls menjelajahi hutan ui yg sampe dalem gituu,ui_fess,not_sarcastic
cwok anxious cwek avoidant menurut kelen gmn cwek kebanyakan avoidant gasi,ui_fess,not_sarcastic
basket putri olim kemarin pertama kalinya liat para arjuna ft geleng geleng kepala dan kicep krn lawan fkg pdhl dr supporter fkg cuma dikit dan mostly cewe semua tp gataunya bisa menang,ui_fess,not_sarcastic
saran tempat yang enak buat santaisantai nunggu gap kelas lama dong sender biasa nunggu di perpusat yang tempat hijau itu dan agak bosen mau pindah tempat tapi ga tau mau kemana,ui_fess,not_sarcastic
sebagai anak rik golongan b anjay menurut gue di antara golongan a alias fk fkg lebih borju fkg jir tapi can not deny kalo anak fk bukan orang sembarangan sih yg gue temuin,ui_fess,not_sarcastic
shoutout untuk yang megang perkusi dari pacil yang waktu itu bantuin warga fakultas sebelah pas gaada perkusi yang dateng waktu pertandingan badminton di sor hehe makasih yah seru bgt deh kalian,ui_fess,not_sarcastic
orang ga ngerti bahasa manusia sesimple jangan ngumpul di tengah bikun tapi bisa masuk aja udah aneh,ui_fess,not_sarcastic
stop membully fakultas public enemy mulailah menganiaya,ui_fess,not_sarcastic
fakultas yang menurut kalian designnya paling keren apa,ui_fess,not_sarcastic
penasaran deh dear anak fakultas lain wdyt tentang anak rik,ui_fess,not_sarcastic
kita boleh naik bus kampus sebelah gak sih trus kalau mau naik harus ngapain and rutenya kmn aja,ui_fess,not_sarcastic
hidup lagi capekcapeknya tapi kamu malah milih divisi pubdok,ui_fess,not_sarcastic
itu yg ngomong f kalau ngadain acara pembicaranya lakilaki semua bisa nggak julidnya dikurangin dikira gampang kali ngundang speaker lagian lo tetep datang dan ngambil konsum juga kan wkwk,ui_fess,not_sarcastic
guyss mau tanya kalau misal ada acara yg diselenggarain bemhima di yg kurang jelasscamga sesuaingelanggar hukum itu bisa ajuin laporan ke dpm ga atau ada prosedurnya ga,ui_fess,not_sarcastic
telah hilang laptop 21112023 telah hilang laptop msi modern 14 c11m007id ssd 512gb ohs urban silver disekitaran kutek sampai beji dengan ciri2 seperti gambar tertera bagi temanteman yang menemukan harap menghubungi yang bersangkutan dibawah cont,ui_fess,not_sarcastic
guys kirakira kalau kesulitan finansial itu di gada bantuankeringanan ukt kah soalnya sering denger yg ngundurin diri karena masalah keuangan,ui_fess,not_sarcastic
coba rate tingkat kesulitan jurusan kalian dr 110 jgn sebut fakultasnya kasih clue aja,ui_fess,not_sarcastic
fakultas kalian yg punya gedung itu pernah masuk feed idol kpop ga,ui_fess,not_sarcastic
buat temen2 yg kuliahpulangkuliahpulang gaikut panitorgkerja kalian emg ga gabut,ui_fess,not_sarcastic
gais kasian banget pacarku frieren ini dia kecapekan habis kuajak mutermuter fib sekalian makan di kansas btw makanan favorit dia tuh ternyata ayam kremes juara jadi ga sabar pengen ajak dia mutermuter lagi,ui_fess,not_sarcastic
aaaaaa hari ini kalian kece banget keren banget jaga kesehatan jiwa dan raga yaa good job for everyone here,ui_fess,sarcastic
km pejuang olim halo kakak2 baik hati nan jago yang ikut kp di fakultasukm basket futsal voli atau sepakbola salah satu aja yuuuk tolong bantu isi kuesioner kamiii link dan detailsnya ada di replies yaah makasih banyak kakak2 semua,ui_fess,not_sarcastic
please dong infoin cara make wifi eduroam katanya lebih kenceng dari hotspot ui ya,ui_fess,not_sarcastic
kirain cuma sender doang yang udah semester 7 gak tau cara minjem buku di perpusat eh barusan kenalan orang di jurusan tetangga yang bahkan nyari katalog buku aja gatau hahaha,ui_fess,not_sarcastic
gimana kabar kalian bulan ini udah capek yuk bisa yuk bentar lagi liburan,ui_fess,not_sarcastic
buka aja min sender menfess yg main asal sebar identitas orang penyelidikan aja blm kelar dan statusnya masih terlapor kita emg hrs berpihak ke korban tp jangan buru2 merudung terduga pelaku kl memang blm terbukti kacau lu pada,ui_fess,not_sarcastic
mohon kebijakan temanteman untuk dapat menyikapi postingan menfess dengan terbuka silakan report ke jika ada postingan menfess yg dapat merugikan pribadi maupun orang banyak terima kasih 2,ui_fess,not_sarcastic
uifessrelease merujuk ke rules pasal 1 amp 6 terkait larangan penyebaran hoax amp identitas seseorang secara eksplisit maka menfess apapun yg melanggar rules tersebut akan kita take down 1,ui_fess,not_sarcastic
kalian a semua smt ini,ui_fess,not_sarcastic
halo temen2 boleh minta bantuannya gaa tolong isi kuesionerku yang pernah make mobile payment apapun sedikit lagiii targetnya amp ini bobotnya tinggi bgt bantuin aku lulus matkul ini plz kuesionernya aku drop bawah yaa makasih all semoga ip cont,ui_fess,not_sarcastic
